Username,Date,source,Comment,processed_comment,word_count,comment_length,dominant_topic,topic_label_short,topic_label,dominant_topic_probability,confidence_cat
@dedynussy1848,2026-02-21 11:34:52+00:00,BBC,mau dibawa kemana indonesia yang besar ini oleh pemerintah sekarang,bawa indonesia besar perintah,10,67,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.840709388,Tinggi (≥0.80)
@DelfianDelfian-q9t8p,2026-01-11 10:52:15+00:00,BBC,yang diuntung keluarga bupati gubernur dan kroni2nya,untung keluarga bupati gubernur kroni2nya,7,52,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.481961161,Rendah (<0.60)
@DendiMulyadi-z6t,2026-02-15 05:50:38+00:00,BBC,anak kenyang belajar fokus kualitas meningkat simpel tapi efeknya besar,anak kenyang ajar fokus kualitas tingkat simpel efek besar,10,71,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.919555306,Tinggi (≥0.80)
@denisatriawan894,2026-01-17 17:27:43+00:00,BBC,ini namanya bukan membuka lapangan kerja ini pesta bagi2 duit rakyat untuk penguasa gizinya alah lebih bergizi dan higienis masakan rumah sendiri,nama bukan buka lapang kerja pesta bagi2 uang rakyat kuasa gizi alah lebih gizi higienis masakan rumah sendiri,22,145,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.567044556,Rendah (<0.60)
@dennyadzent1933,2026-01-17 11:32:09+00:00,BBC,program terkonyolsdm rendah alias monoton,program terkonyolsdm rendah alias monoton,5,41,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.840105295,Tinggi (≥0.80)
@DenTanaka-u5r,2026-01-11 17:42:29+00:00,BBC,untuk level kabubaten udah pasti lingkaran kepala daerah bahkan sampai minyak jelanta pun wajib dijual ke mereka,level kabubaten lingkar kepala daerah bahkan minyak jelanta wajib jual,17,112,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.911252081,Tinggi (≥0.80)
@derakunn,2026-01-08 13:15:51+00:00,BBC,membuat anak menjadi bodoh karena dana pendidikan dipotong demi mbg,buat anak jadi bodoh dana didik potong,10,67,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.526541293,Rendah (<0.60)
@designerfromarchitect4432,2026-01-29 22:22:33+00:00,BBC,ga bisa dikritik program mbg nya malah jadi bisnis besar si x bercabang2 aku sebagai warga netral paling benar masak keluarga sendiri diberikan bahan makanan mentah lalu tentukan masakan nya apa bukannya mau berpikir buruk ntar juga muncul pelaku korups mbg kenapa soalnya ada beberapa distribusi kurang dari sisi siswa juga dari dapur ada yang kurang mau heran tapi ini indonesia ada aja oknum tidak professional alias korup dalam kesempitan,kritik program malah bisnis besar media sosial bercabang2 warga netral paling benar masak keluarga sendiri beri bahan makan mentah lalu tentu masakan bukan pikir buruk muncul laku korups soal beberapa distribusi cukup sisi siswa dapur cukup heran indonesia oknum professional alias korup sempit,70,442,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.601647496,Sedang (0.60–0.80)
@devasimung7586,2026-01-07 05:07:28+00:00,BBC,sepertinya lebih banyak masyarakat yang dirugikan dan yang diuntungkan kelompok kecil yang dekat dengan penguasa harga dipasar menjadi kacau balau,seperti lebih banyak masyarakat rugi untung kelompok kecil dekat kuasa harga pasar jadi beranta balau,20,146,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.950014174,Tinggi (≥0.80)
@DewaBahagya,2026-01-19 12:33:57+00:00,BBC,yang untungnegarabertambah hutang ny,untungnegarabertambah hutang ny,4,36,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.745899677,Sedang (0.60–0.80)
@DewanRakyat1,2026-02-22 05:17:53+00:00,BBC,program sebesar mbg yang menjangkau jutaan penerima tentu membutuhkan proses adaptasi yang penting manfaat utamanya yaitu pemenuhan gizi masyarakat tetap berjalan dan terus diperbaiki,program besar jangkau juta terima butuh proses adaptasi penting manfaat utama penuh gizi masyarakat tetap jalan terus baik,24,183,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.956843257,Tinggi (≥0.80)
@dewi_anggraini12,2026-02-14 20:13:06+00:00,BBC,mbg itu bukti negara hadir apalagi buat yang susah makan di rumah,bukti negara hadir buat susah makan rumah,12,65,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.899215281,Tinggi (≥0.80)
@diah_pertiwi,2026-02-14 18:49:58+00:00,BBC,umkm lokal makin hidup sekarang tiap minggu pasti ada pesanan rutin bahan ke dapur mbg,umkm lokal makin hidup tiap minggu pesan rutin bahan dapur,15,86,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.929005682,Tinggi (≥0.80)
@DianRara-o6p,2026-01-10 08:37:35+00:00,BBC,yang paling di untungkan dri adanya proyek mbg ya para vendor pemilik dapur mbg lah siapa lgikeuntungan yang mereka dpt bisa sampe puluhan juta perharikarna satu vendor bisa megang puluhan dapur mbgdan vendor2 yang di pilih ini yang jelas bukan orang2 sembaranganharus orang2 yang punya power politik di pemerintahan juga tentunya,paling untung dri ada proyek vendor milik dapur lgikeuntungan puluh juta perharikarna satu vendor megang puluh dapur mbgdan vendor2 pilih jelas bukan orang2 sembaranganharus orang2 punya kuat politik perintah tentu,51,330,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.971078873,Tinggi (≥0.80)
@DianRara-o6p,2026-01-10 08:47:27+00:00,BBC,iya bener dengan dana 15 ribu perhari sebenernya kita bisa makan satu porsi nasi padang setiap haridan menu2 yang di sajikan di ompreng mbg kayanya kurang dri 15 ribu dehsolnya menunya ya biasa ajamalah jauh dri kata bergizimenu yang enak2nya paling pas di awal2nya aja atau klo lgi ada sidak ajapantesan para vendornya bisa dpt untung sampe puluhan juta perharimenu seadanya gaji relawan sesukanya jelas bisa cuan gede bgt,iya benar dana 15 ribu hari benar makan satu porsi nasi padang haridan menu2 saji ompreng seperti cukup dri 15 ribu dehsolnya menu lumrah ajamalah jauh dri kata bergizimenu enak2nya paling awal2nya lgi sidak ajapantesan vendor untung puluh juta perharimenu ada gaji rawan suka jelas untung gede sangat,69,423,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.850684524,Tinggi (≥0.80)
@DianRara-o6p,2026-01-10 08:56:41+00:00,BBC,proyek mbg cuma menambah kesejahteraan dan kekayaan para vendornya saja dan yang bisa jdi vendor mbg jelas2 bukan orang sembarangan sudah pasti orang2 yang punya power politik di pemerintahanrezim ini jelas rezim bagi2 kue kental dgn kkn ngga jauh beda dgn yang kemarinjdi mau ngarepin apa dari rezim ini sila ke5 pancasila sudah lama mati sejak indo di pimpin sama jokowi dan sekarang di lanjutkan sama muridnya yang sejahtera cuma rakyat bansospara aparatpara pengusaha dan para pejabat kkn,proyek tambah sejahtera kaya vendor vendor jelas2 bukan orang sembarang orang2 punya kuat politik pemerintahanrezim jelas rezim bagi2 kue kental dgn kkn jauh beda dgn kemarinjdi ngarepin rezim sila ke5 pancasila lama mati sejak indonesia pimpin jokowi lanjut murid sejahtera rakyat bansospara aparatpara usaha jabat kkn,78,492,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.817019761,Tinggi (≥0.80)
@DianRara-o6p,2026-01-10 09:09:06+00:00,BBC,pak presiden kita terlalu naifingin mempraktekan budaya sekolah di jepang ini di konohadri luas wilayah dan jumlah penduduknya aja sudah jelas2 ngga seimbangdan perbedaan yang paling menonjol adalah sdm para pejabatnyaklo pejabat jepang disiplin jujur dan berintegritassedang pejabat konoha males tukang tip pengen cepet kaya pake cara instan alias kkn jauh bgt lah bedanya,presiden terlalu naifingin praktek budaya sekolah jepang konohadri luas wilayah jumlah duduk jelas2 seimbangdan beda paling tonjol sumber daya manusia pejabatnyaklo jabat jepang disiplin jujur berintegritassedang jabat indonesia malas tukang tip cepat kaya pakai cara instan alias kkn jauh sangat beda,54,373,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.978201032,Tinggi (≥0.80)
@diartatrisna5095,2026-01-31 15:20:05+00:00,BBC,kami lelah menjadi budak mbg,lelah jadi budak,5,28,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.795390129,Sedang (0.60–0.80)
@DidiYudha-zz1ug,2026-01-26 22:01:28+00:00,BBC,gak ada yang untungyang menerima bilang makanan kurang enak dllyang kerja di mbg bilang capek yang jadi bisa mbg bilang rugi,untungyang terima bilang makan cukup lezat dllyang kerja bilang lelah bilang rugi,21,124,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.582520902,Rendah (<0.60)
@dieniffa3784,2026-01-12 07:08:14+00:00,BBC,sekarang guru dapat mbg kenapa ya karena ada sentilan bahwa ana 12 hari mbg katanya bisa mensejahterakan guru honorer selama 1 bulan karena ada sentilan begitu baru deh aa kebijakan guru dpt mbg wahai pemerintah guru ingin disejahterakan bukan dikasihani dikasih makan siang gratis bagaimana bisa pemerintah memahami semoga allah lah yang akan membalas para pemikiran mbg yang hanya memikirkan keuntungan,guru sentil ana 12 hari kata sejahtera guru honorer lama 1 bulan sentil baru aa atur guru hai perintah guru sejahtera bukan kasihan beri makan siang gratis bagaimana perintah paham moga allah balas pikir pikir untung,61,404,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.977710426,Tinggi (≥0.80)
@DimitriRemirez,2026-01-10 15:04:16+00:00,BBC,kalau anda ingin makan beracun gratis makan aja kecubunggadungjamur amonia abangku,makan racun gratis makan kecubunggadungjamur amonia abang,11,82,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.734315634,Sedang (0.60–0.80)
@dinda-ke7hg,2026-02-02 10:24:48+00:00,BBC,saudara saya pedagang bakso goreng dan cilok mengeluh sejak ada mbg dagangannya jadi gak laku dan sekarang sudah berhenti dan menganggur,saudara dagang bakso goreng cilok keluh sejak dagang laku henti anggur,21,136,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.585893393,Rendah (<0.60)
@diniretno8268,2026-01-17 11:01:14+00:00,BBC,para kroninya situa dan siplongo yang dpt untung,kroni situa siplongo untung,8,48,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.749466717,Sedang (0.60–0.80)
@Dino-rj4lg,2026-01-26 02:11:29+00:00,BBC,yang pasti ekonomi rakyat kecil makin berat bahkan mati daur mbg dan para yang pengambil kebijakan makin kaya pak prabowo tertawa rakyat ekonomi bawah pasar tradisional makin menderita,ekonomi rakyat kecil makin berat bahkan mati daur ambil atur makin kaya prabowo tertawa rakyat ekonomi bawah pasar tradisional makin derita,28,184,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.702050686,Sedang (0.60–0.80)
@Dirgayasa-h2g,2026-03-31 15:29:25+00:00,BBC,mbg di aku keren kok,keren,5,20,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.623956442,Sedang (0.60–0.80)
@disetya9590,2026-01-08 03:47:03+00:00,BBC,kok relawan sebutannya relawan mah tidak dibayar orang orang yang dibayar namanya buruh mbak bukan relawan gimana sih,rawan sebut rawan mah bayar orang orang bayar nama buruh mbak bukan rawan bagaimana sih,18,117,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.949621201,Tinggi (≥0.80)
@DJISAMSOE-295,2026-03-28 04:47:10+00:00,BBC,iya ini proyek mega nasional dengan kesepakatan proyek berapa persen untuk pilpres berikut,iya proyek mega nasional sepakat proyek berapa persen milu presiden ikut,13,90,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.933425844,Tinggi (≥0.80)
@Dodiafrianes,2026-01-23 01:41:32+00:00,BBC,hapus bubarkan ganti dengan yang lain itu baru mantap,hilang bubar ganti baru mantap,9,53,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.561154783,Rendah (<0.60)
@DOMOLOYU,2026-01-31 03:17:06+00:00,BBC,makanya pilih pemimpin yang bener jgn yang tua pemikirannya gk update udah mentok sekarang malah ga bs apa2 negara kita,makanya pilih pimpin benar jangan tua pikir update henti malah apa2 negara,20,119,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.566328764,Rendah (<0.60)
@duacinta-yb3tb,2026-03-26 03:59:42+00:00,BBC,yang untung yang gawe yayasan lah cuan cuan,untung gawe yayasan untung untung,8,43,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.874365151,Tinggi (≥0.80)
@dzakyradzakyra1697,2026-01-08 08:52:34+00:00,BBC,mbg menguntungkan segelintir orang ajamenghamburkan uang negara hapus program ini ganti dengan kasih bahan mentah ajaseperti beras telor ke murid,untung gelintir orang ajamenghamburkan uang negara hilang program ganti bahan mentah ajaseperti beras telur murid,20,145,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.534383476,Rendah (<0.60)
@e.mahpudindin,2026-01-07 04:13:21+00:00,BBC,banyak yang keracunan,banyak racun,3,21,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.733822107,Sedang (0.60–0.80)
@eckydj,2026-01-11 10:48:18+00:00,BBC,stop mbg gara gara beli susu uht susah pada kosong bahan pokok naik,stop beli susu uht susah kosong bahan pokok naik,13,67,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.920601726,Tinggi (≥0.80)
@EddySwitarto-t1v,2026-02-12 15:13:42+00:00,BBC,benarmerusak pasarmematikan kantin sekolahpedagang kecil jajanan di depan sekolahpedagang2 sayur dllsemua pada bangkrutpadahal itulah sumber penghasilan mereka yang adalah rakyat kecilyg untung pengusaha besarjadi ada benarnya bhw ini konsolidasi politik terutama untuk pemilu selanjutnyamohon di luruskanktnya negara melindungi rakyat keciltp prakteknya nihil mereka termarginalkan totaljadi tolonglahtolong mereka,benarmerusak pasarmematikan kantin sekolahpedagang kecil jajan depan sekolahpedagang2 sayur dllsemua bangkrutpadahal sumber hasil rakyat kecilyg untung usaha besarjadi benar konsolidasi politik utama pilih umum selanjutnyamohon luruskanktnya negara lindung rakyat keciltp praktek nihil marginal totaljadi tolonglahtolong,47,415,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.965779603,Tinggi (≥0.80)
@EddyYhuwantoSoehoto,2026-02-02 06:58:53+00:00,BBC,program andalan mbg soal dilapangan tau sendiri gagal ciptakan 19juta lapangan kerja mbg mau bagus mau bermasalah dipaksa jalan jdi guru2 kalau istirahat ug dibahas mbg,program andal soal lapang tahu sendiri gagal cipta 19juta lapang kerja bagus masalah paksa jalan guru2 istirahat ug bahas,26,168,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.954979837,Tinggi (≥0.80)
@Educafruit,2026-02-01 03:35:11+00:00,BBC,hampir 100 pemilik berafiliasi,hampir 100 milik afiliasi,4,30,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.842592001,Tinggi (≥0.80)
@edworldbellu,2026-01-28 04:54:49+00:00,BBC,program bagus tapi kurang profesional dan tidak transparan,program bagus cukup profesional transparan,8,58,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.86866641,Tinggi (≥0.80)
@edynuryanto3619,2026-02-05 05:13:25+00:00,BBC,saya orang desa merasa senang ada mbg tapi untuk lebih meningkatkan dampak positif pola pengelolaannya harus diperbaiki jangan dimonopoli oleh pemilik modal tetapi para pedagang kantin sekolahan dan petani lokal harus dilibatkan memang jadi kendala ketika bahan baku mbg masyarakat lokal tidak punya produksi beras lombok sayuran dll,orang desa rasa senang lebih tingkat dampak positif pola kelola baik jangan monopoli milik modal dagang kantin sekolah tani lokal libat memang kendala bahan baku masyarakat lokal punya produksi beras lombok sayur lainlain,48,333,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.636942089,Sedang (0.60–0.80)
@EdyR-w2w3e,2026-02-20 07:20:32+00:00,BBC,program apa inijuru masaknya ambil bagian 33 anggaran,program inijuru masak ambil bagi 33 anggar,8,53,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.865593553,Tinggi (≥0.80)
@Eghi-w6y,2026-02-05 17:49:53+00:00,BBC,kantin sekolah sepi pembeli,kantin sekolah sunyi beli,4,27,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.60037303,Sedang (0.60–0.80)
@ehasugiri2998,2026-01-20 03:17:47+00:00,BBC,ada nya mbg kantin2 sekolaan pada bangkrut yang di untung hanya yang punya dapur mbg coba lihat yang sebenar,kantin2 kola bangkrut untung punya dapur coba lihat benar,19,108,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.922129273,Tinggi (≥0.80)
@ekaimam,2026-01-13 12:20:15+00:00,BBC,jual bakmi ayam di sekolah menengah atas di bogor tadinya minimal laku 50 porsi setelah mbg laku 10 porsi aja sudah bagus,jual bakmi ayam sekolah tengah atas bogor tadi minimal laku 50 porsi laku 10 porsi bagus,22,121,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.951742887,Tinggi (≥0.80)
@ekaprasetio9564,2026-01-16 11:13:50+00:00,BBC,supply chain rusak,supply chain rusak,3,18,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.792426169,Sedang (0.60–0.80)
@ekomeiriopradita6060,2026-01-06 13:24:35+00:00,BBC,nikmat mbg mana lagi yang kamu dustakan 1 titik dapur mbg 3000 porsi hari perporsi ambil untung rp 2000 saja 3000 porsi x rp 2000 untung rp 6000000 hari kalau dapat jatah 40 titik dapur mbg saja 40 titik dapur mbg x rp 6000000 untung rp 240000000 hari dalam 1 bulan bisa untung 72 m 30 hari x rp 240000000 untung rp 7200000000 perbulan dan yang paling penting adalah dapur mbgnya dikerjasamakandikelola oleh pihak lain gak perlu modal dapur dll yang penting dapat jatah dapur mbg 40 titik dapur saja sudah dapat 72 m perbulan lalu nikmat mbg mana lagi yang kamu dustakan,nikmat dusta 1 titik dapur 3000 porsi hari porsi ambil untung rp 2000 3000 porsi media sosial rp 2000 untung rp 6000000 hari jatah 40 titik dapur 40 titik dapur media sosial rp 6000000 untung rp 240000000 hari 1 bulan untung 72 meter 30 hari media sosial rp 240000000 untung rp 7200000000 bulan paling penting dapur mbgnya dikerjasamakandikelola pihak perlu modal dapur lainlain penting jatah dapur 40 titik dapur 72 meter bulan lalu nikmat dusta,103,570,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.988818824,Tinggi (≥0.80)
@EliHerlianti-e9x,2026-01-10 11:24:48+00:00,BBC,dengan mbg iya jelas bahan makan diborong di pasaran harga jadi mahal,iya jelas bahan makan borong pasar harga mahal,12,69,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.911235452,Tinggi (≥0.80)
@EliHerlianti-e9x,2026-01-08 08:55:05+00:00,BBC,yang diuntungan iya jelas yang tarik keuntungan jelas yang punya modal awal mbg,untung iya jelas tarik untung jelas punya modal,13,79,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.912985981,Tinggi (≥0.80)
@elis_ariska,2026-02-14 18:59:28+00:00,BBC,semoga ke depan mbg berkembang sistemnya makin rapih manfaatnya makin luas,moga depan kembang sistem makin rapih manfaat makin luas,11,74,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.922064185,Tinggi (≥0.80)
@eltonmaulanahanafiah,2026-01-30 09:05:06+00:00,BBC,gaji guru jadi kecil gara2 mbg apalagi paruh waktu kaya gw,gaji guru kecil gara2 paruh waktu kaya,11,58,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.903593004,Tinggi (≥0.80)
@elvina_ardhani,2026-02-14 20:01:03+00:00,BBC,mbg bantu ekonomi ibuibu di lingkunganku mereka semangat banget kerja di dapur tiap hari,bantu ekonomi ibuibu lingkung semangat sangat kerja dapur tiap hari,14,88,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.594113171,Rendah (<0.60)
@EmanPermana-u7v,2026-02-11 03:29:14+00:00,BBC,yang diuntungjan koruptor2,diuntungjan koruptor2,3,26,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.621511102,Sedang (0.60–0.80)
@EmpusLucu,2026-01-10 11:13:01+00:00,BBC,aneh emang kalau masak di dapur umum untuk bencana alam boleh lah disebut relawan ini orang kerja kok pake embel embel relawan biar bisa diupah murah miris oknum pejabat pada main bisnis ini sangat menjijikan bagi bagi kue hasil pilpres memang manis,aneh memang masak dapur umum bencana alam sebut rawan orang kerja pakai embel embel rawan biar upah murah miris oknum jabat main bisnis sangat jijik kue hasil milu presiden memang manis,42,249,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.864363372,Tinggi (≥0.80)
@endang_lrs,2026-02-14 18:41:49+00:00,BBC,program makan gratis ini bukan sekedar bagi makanan aja dampaknya luas ke ekonomi rakyat kecil juga,program makan gratis bukan dar makan dampak luas ekonomi rakyat kecil,16,99,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.495202452,Rendah (<0.60)
@endanguliyanah8566,2026-02-12 12:31:57+00:00,BBC,susu uht di pasar susah jadi ikut naik,susu uht pasar susah ikut naik,8,38,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.643796384,Sedang (0.60–0.80)
@enikerahmadani1573,2026-01-07 04:50:06+00:00,BBC,klo pedagang di pasar sepi kasihan bnget,dagang pasar sunyi kasihan bnget,7,40,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.74735105,Sedang (0.60–0.80)
@ENSIKLOPUBLISH,2026-01-16 00:42:35+00:00,BBC,sudah ada pkh ada bnpt ada blt dan lain sebagainya harusnya masalah makan sudah selesai di tahapan bansos jangan sampai indonesia salah membangun fundamental generasi muda kesejahteraan dan kesehatan keuangan negara jangan sampai hutang negara menumpuk jadi beban sehingga pajak makin tinggi alhasil kesejahteraan itu semakin jauh harusnya yang dibangun adalah mental kecerdasan harusnya generasi indonesia disiapkan untuk generasi mandiri dalam hal teknologi perdagangan tenaga2 muda yang mumpuni dalam berbagai bidang,pkh bnpt blt bagai harus masalah makan tahap bansos jangan indonesia salah bangun fundamental generasi muda sejahtera sehat uang negara jangan hutang negara tumpuk beban pajak makin tinggi alhasil sejahtera makin jauh harus bangun mental cerdas harus generasi indonesia siap generasi mandiri teknologi dagang tenaga2 muda mumpuni bagai bidang,71,519,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.787634909,Sedang (0.60–0.80)
@EnyLusiana-j7m,2026-01-25 05:20:01+00:00,BBC,baru setaun pegawainya sudah di angkat jdi pppk dan asn para dosen dan guru hrs melalui byk tes untuk jdi asn pegawai mbg bgtu mudahnya jdi asn dan pppk,baru taun pegawai angkat pegawai perintah janji kerja asn dosen guru lewat banyak tes asn pegawai mudah asn pegawai perintah janji kerja,29,152,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.964448273,Tinggi (≥0.80)
@EpanEpan-t9n,2026-02-07 13:55:27+00:00,BBC,tanya ko ke rakyat soal untung tanya ke pemelintah perabowo dong ini bisnis pala penguasa kita,tanya rakyat soal untung tanya lin perabowo bisnis pala kuasa,16,94,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.918581903,Tinggi (≥0.80)
@epingeping4926,2026-02-27 22:38:16+00:00,BBC,mbg buat mempersiapkan modal pilpres memdatang,buat siap modal milu presiden memdatang,6,46,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.724535525,Sedang (0.60–0.80)
@epingeping4926,2026-02-27 22:37:12+00:00,BBC,mbg sarang korupsi,sarang korupsi,3,18,3,Tata Kelola & Dana,"Tata Kelola &
Akuntabilitas Dana",0.745326996,Sedang (0.60–0.80)
@eraryusuf3012,2026-03-27 10:11:01+00:00,BBC,mantap kroni kroni nya kaya mendadak selamat menikmati,mantap kroni kroni kaya dadak selamat rasa,8,54,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.62813592,Sedang (0.60–0.80)
@erika_putrii8,2026-02-14 18:48:58+00:00,BBC,thank you buat siapa aja yang udah mau terlibat dan bantu mbg biar tetep jalan,thank buat libat bantu biar tetap jalan,15,78,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.612152934,Sedang (0.60–0.80)
@erikkadwisundari8643,2026-01-08 09:12:33+00:00,BBC,lahan basah korupsi,lahan basah korupsi,3,19,1,Politik & Kebijakan,"Wacana Politik &
Evaluasi Kebijakan",0.805102348,Tinggi (≥0.80)
@erinnberlina4712,2026-01-17 06:03:16+00:00,BBC,harus di usut karena banyak pemotongan uang mbg dan orang orang yang minta jatah makanan yang disajikan harga murah ada yang melarang memposting makanan dan ada anak yang dikeluarkan dari sekolah karena memposting makanan dana yang dikeluarkan untuk mbg besar sekali lebih baik untuk anak yatimpiatu dan pakir miskin setiap bulannya sejuta lima ratus agar tidak ada lansia yang mencari sesuap nasi karena di facebook banyak sekali yang kekurangan mereka tidak terjamin harus diperhatikan bansos harus mencukupi kebutuhan mereka untuk setiap bulan,usut banyak potong uang orang orang minta jatah makan saji harga murah larang memposting makan anak keluar sekolah memposting makan dana keluar besar sekali lebih baik anak yatimpiatu pakir miskin bulan juta lima ratus lansia cari suap nasi facebook banyak sekali kurang jamin perhati bansos cukup butuh bulan,82,546,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.595154703,Rendah (<0.60)
@erwanerwan3790,2026-01-27 08:56:54+00:00,BBC,anak hanya dijadikan proyek yang untung itu adalah kroninya si raja omon dan si raja tipu hidup jokowiiiiiiii,anak jadi proyek untung kroni raja omon raja tipu hidup jokowiiiiiiii,18,109,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.46451515,Rendah (<0.60)
@EsterKendang-od4oh,2026-01-21 00:35:29+00:00,BBC,merugikan kantin sekolah jadi merosot 50 persendiganti uang saja,rugi kantin sekolah merosot 50 persendiganti uang,9,64,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.887618959,Tinggi (≥0.80)
@EuisSuryati-s6m,2026-01-26 04:27:51+00:00,BBC,saran pihak mbg jangan beli dari tengkulakapa susahnya berangkat ke pasar booking pembelian dengan begitu ada kerjasama pihak mbg dengan pihak pedagang di pasar mbg besar anggaran apasalahnya berbagi rezeqi,saran pihak jangan beli tengkulakapa susah berangkat pasar booking beli kerjasama pihak pihak dagang pasar besar anggar apasalahnya bagi rezeqi,30,206,0,Ekonomi & Kerja,"Dampak Ekonomi &
Ketenagakerjaan",0.71399796,Sedang (0.60–0.80)
@eunikewidyastuti1415,2026-01-10 08:50:13+00:00,BBC,seneng melihat anak2 makan bersama mbg negara memberi makan anak2 kan bagus ya namanya juga program mbg ini baru mari kita kawal dgn baik jangan hanya negatif saja pikiran kita,neng lihat anak2 makan sama negara beri makan anak2 kan bagus nama program baru kawal dgn baik jangan negatif pikir,30,176,2,Sekolah & Pangan,"Implementasi Sekolah &
Keamanan Pangan",0.603138506,Sedang (0.60–0.80)
