slang,baku
ndang,cepat
jiahk,yaelah
teh,kakak
wkwkawkawkwa,tertawa
deg,deg-degan
sanae,di sana
rebuuuuuu,rabu
ati,hati
doing,melakukan
desperate,putus asa
topiknya,topik nya
min,admin
sampe,sampai
kepo,penasaran
meuni,banget
wow,wah
cuss,ayo
naikin,menaikkan
mo,mau
thn,tahun
eta,itu
ldr,hubungan jarak jauh
mentingin,mengutamakan
monthly,bulanan
sewa,menyewa
emak,ibu
nanaon,apa
minels,mineral
sorry,maaf
mu,kamu
bye,selamat tinggal
mnt,menit
r,ya
gw,saya
we,kami
oppa,kakak
economy,ekonomi
soon,segera
emng,memang
up,naik
minus,kurang
yearning,kerinduan
judging,menghakimi
pemalas,malas
cv,daftar riwayat hidup
ank,anak
nyungsep,jatuh
gmne,gimana
view,tampilan
ngetapel,melempar
terlihat,nampak
countries,negara-negara
teddy,boneka beruang
dkk,dan kawan-kawan
sndiri,sendiri
style,gaya
dwifungsi,dua fungsi
taiikk,kotoran
syarat2nya,syarat syaratnya
workshopnyaa,pelatihannya
fyp,viral
ngakakakk,tertawa keras
gtw,nggak tahu
wen,kapan
kenape,kenapa
spin,putaran
60jt,60 juta
wong,orang
ninja,pendekar bayangan
bak,seperti
jpt,jabatan tinggi
yayah,ayah
kuteknya,cat kukunya
muak,jijik
mahh,mah
bhw,bahwa
dpn,depan
wml,web markup language
eilish,billie eilish
congrats,selamat
tau,tahu
wqwqwqwq,tertawa
makaci,terima kasih
ngotak,pakai otak
apbn,anggaran negara
soalny,soalnya
ausie,australia
keder,takut
ngetroll,mengejek
meant,maksud
sduwhv,tidak jelas
not,bukan
wna,warga negara asing
ama,sama
loh,lho
gajadi,tidak jadi
bjirrr,astaga
bneran,benar-benar
my,saya
yu,ayo
stay,tinggal
nak,anak
wktu,waktu
weits,wah
ijin,izin
udh,sudah
bidin,ustaz
belumm,belum
our,kami
asliii,asli
manaaaa,mana
lah,ya
iseng,main-main
hemfihh,capek
nyampe,sampai
hp,ponsel
utang,hutang
ruutni,rutinitas
sprti,seperti
nasehatin,menasihati
ujungnya,akhirnya
tingkah,perilaku
prettt,plis
sittah,enam
ayooo,ayo
nyengsarain,menyengsarakan
ditampar,dipukul
daftarrrr,daftar
nyetel,memutar
2l,dua liter
unt,untuk
syok,terkejut
kepingin,ingin
ap,apa
ptsd,trauma berat
webinarnyaa,webinarnya
ngabur,kabur
anjay,astaga
onoh,itu
taunya,tahunya
btw,ngomong ngomong
kekny,kayaknya
siapin,siapkan
residu,sisa
sioeng,siongg
waifu,istri virtual
iyalagi,iya lagi
macam,jenis
kalo,kalau
